Catalog product id,Name,Blank cost
"100","Paragon Saratoga Performance Mini Mesh Polo",14.4
"102","American Apparel Women's Fine Jersey Boxy Tee",4.75
"104","Paragon Women's Saratoga Performance Mini Mesh Polo",14.9
"110","Richardson R-Flex Trucker Cap",9.1
"111","Richardson Garment-Washed Trucker Cap",7.95
"113","Richardson Foamie Trucker Cap",7.65
"115","Richardson Low Pro Trucker Cap",7.65
"120","Paragon Women's Lady Palm Three-Quarter Sleeve Polo",14.45
"130","Richardson Marled Beanie",5.3
"134","Richardson Stripe Pom Cuffed Beanie",7.05
"147","Augusta Sportswear Women's Reversible Wicking Tank Top",9.55
"150","Paragon Memphis Sueded Polo",13.05
"153","Paragon Belmont Sublimated Heathered Polo",19.4
"154","Paragon Men's Charleston Sublimated Polo",19.4
"161","Augusta Sportswear Tricot Mesh Reversible Jersey 2.0",7.3
"162","Augusta Sportswear Youth Reversible 2.0 Jersey",7.3
"168","Richardson Seven-Panel Trucker Cap",8.5
"169","Richardson Cannon Cap",11.35
"171","Paragon Monterey Printed Polo",19.9
"172","Richardson Pulse Sportmesh R-Flex Cap",11.05
"173","Richardson Hood River",10.45
"180","Flexfit Delta® Seamless Cap",12.7
"190","Tultex Women's Poly-Rich Racerback Tank Top",28.1
"200","Paragon Islander Performance T-Shirt",10.15
"202","Tultex Unisex Fine Jersey T-Shirt",2.75
"204","Paragon Women's Islander Performance T-Shirt",6.7
"207","Tultex Poly-Rich V-Neck T-Shirt",4.1
"210","Paragon Long Islander Performance Long Sleeve T-Shirt",12.75
"212","Richardson Pro Twill Snapback Cap",6.8
"213","Tultex Women's Fine Jersey T-Shirt",2.8
"214","Paragon Women's Long Islander Performance Long Sleeve T-Shirt",9.25
"216","Tultex Women's Fine Jersey Classic Fit T-Shirt",3.2
"220","Paragon Bahama Performance Hooded Long Sleeve T-Shirt",16.15
"222","Paragon Aruba Extreme Performance Long Sleeve T-Shirt",13.55
"225","Richardson Casual Performance Cap",9.1
"233","Paragon Maui Performance Long Sleeve T-Shirt",17.05
"235","Tultex Youth Fine Jersey T-Shirt",2.55
"237","Paragon Oxford Performance Camo Print Long Sleeve T-Shirt",18.05
"240","Tultex Women's Poly-Rich T-Shirt",3.1
"241","Tultex Poly-Rich T-Shirt",3.55
"245","Tultex Unisex Fine Jersey Raglan T-Shirt",5.5
"246","Tultex Unisex Fine Jersey Ringer T-Shirt",4.65
"250","Augusta Sports Junior Fit Stadium Replica Football Jersey",11.95
"254","Tultex Tri-Blend T-Shirt",5.5
"256","Richardson Umpqua Snapback Cap",10.5
"257","Augusta Sportswear Stadium Replica Football Jersey",12.1
"258","Richardson Five Panel Classic Rope Cap",8.5
"290","Tultex Unisex Heavyweight Jersey T-Shirt",3.75
